erantzunZbkia,gaixotasunCodes,sintomak
258,,
259,,
260,,
261,,
262,,
263,C0018802 ,"(RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan "
264,C0004238 ,"(RS)-metoprolol, (RS)-propafenone, (±)-carvedilol, Bisoprolol / Hydrochlorothiazide, amiodarone, apixaban, aspirin, atenolol, atenolol/chlorthalidone, clopidogrel, dabigatran, dabigatran etexilate, deslanoside, digitoxin, digoxin, diltiazem, disopyramide, dofetilide, dronedarone, edoxaban, flecainide, fondaparinux, ibutilide, indobufen sodium, procainamide, quinidine, rivaroxaban, sotalol, vanoxerine hydrochloride, verapamil, warfarin "
265,C0005403 # C0038354 # C0039082 # C0001727 ,"- # esomeprazole, omeprazole, pantoprazole, ranitidine # - # - "
266,C1318973 # C0038034 ,"- # amphotericin B, itraconazole, natamycin "
267,C0014742 # C0021099 ,"- # cefadroxil, cefuroxime, mupirocin "
268,C0019693 # C0149985 # C0035012 # C0014742 ,"abacavir, aldesleukin, amprenavir, delavirdine, didanosine, dolutegravir, efavirenz, enfuvirtide, etravirine, indinavir, lamivudine, lopinavir, nelfinavir, nevirapine, raltegravir, ritonavir, saquinavir, stavudine, tenofovir, tenofovir disoproxil, tipranavir, zalcitabine, zidovudine # - # adalimumab, etanercept # - "
269,C0011615 # C0033860 # C0020757 ,"abrocitinib, betamethasone, cidoxepin, desonide, fluocinolone, methdilazine, pimecrolimus, tacrolimus, trimeprazine, triprolidine # apremilast, calcipotriene, desonide, desoximetasone, ethyl fumarate, methotrexate, non-steroidal anti-inflammatory drug, tacalcitol, tazarotene # - "
270,C0220704 # C0016667 # C0028326 # C0175702 ,- # - # - # - 
271,C0004626 # C0041327 # C1535939 ,"Dirithromycin, Trovafloxacin, azithromycin, cefaclor, cefamandole, cefazolin, cefdinir, cefditoren, cefepime, cefixime, cefoperazone, cefotaxime, cefpodoxime proxetil, ceftazidime, ceftizoxime, ceftriaxone, cefuroxime, cephalexin, cloxacillin, dicloxacillin, doxycycline, gatifloxacin, levofloxacin, levofloxacin hemihydrate, linezolid, methicillin, moxifloxacin, telavancin, tigecycline # DL-ofloxacin, bedaquiline, ethambutol, isoniazid, levofloxacin, levofloxacin hemihydrate, linezolid, rifabutin, rifampicin, rifapentine # atovaquone, clindamycin, pentamidine, sulfadoxine, trimethoprim, trimetrexate(1+) "
272,C0024530 # C0023364 # C0034494 ,"(RS)-primaquine, Artesunate/amodiaquine, artemisinin, atovaquone, chloroquine, cinchonidine, clindamycin, doxycycline, hydroxychloroquine, mefloquine, primaquine phosphate, pyrimethamine, quinidine, quinine, sulfadiazine # amoxicillin, aprotinin, cefotaxime, ceftriaxone, ethamsylate, penicillin G, pentoxifylline # - "
273,C0014733 ,"DL-ofloxacin, amoxicillin, ampicillin, azithromycin, cefadroxil, cefixime, cefotaxime, ceftazidime, ceftriaxone, cefuroxime, cephalexin, ciprofloxacin, clarithromycin, josamycin, midecamycin, penicillin G, roxithromycin "
274,,
275,C0009450 # C0021345 ,- # - 
276,C0003873 # C0017658 # C0035078 # C0041349 ,"(+-)-flurbiprofen, (RS)-etodolac, (RS)-fenoprofen, D-penicillamine, Etanercept, adalimumab, anakinra, aspirin, auranofin, aurothioglucose, azathioprine, captopril, celecoxib, chloroquine, cyclosporine, diclofenac, diflunisal, enalapril, frentizole, gold, hydroxychloroquine, ibuprofen, indomethacin, ketoprofen, leflunomide, methotrexate, methylprednisolone, nabumetone, naproxen, oxaprozin, piroxicam, sulfasalazine, sulindac, thalidomide, tolmetin, valdecoxib # eculizumab # alpha-Ketoglutaric acid, paricalcitol # - "
277,C0039082 ,- 
278,,
279,C0014236 # C0035305 # C0242383 # C0423361 ,- # - # - # - 
280,C0154833 ,- 
281,C0423361 # C0007688 ,- # - 
282,,
283,,
284,C0085435 # C1692886 ,"adalimumab, etanercept # (2R)-daptomycin, vancomycin "
285,,
286,,
287,C0029410 ,- 
288,C0039503 # C0024031 ,- # tizanidine 
289,C0003864 # C0033802 # C0553730 ,"(S)-duloxetine, Abatacept, Certolizumab pegol, Etanercept, Ustekinumab, adalimumab, alpha-linolenic acid, apremilast, buprenorphine, celecoxib, diclofenac, gabapentin, golimumab, hydroxychloroquine, infliximab, leflunomide, meclofenamic acid, meloxicam, methotrexate, methylprednisolone, prednisone, pregabalin, rituximab, salsalate, sulfasalazine, tocilizumab, tofacitinib # - # - "
290,,
291,,
292,,
293,,
294,C0040156 # C0018213 # C0040149 ,"L-thyroxine, liothyronine, methylthiouracil, thyroglobulin # - # - "
295,,
296,,
297,C0002395 ,"aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine "
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,C0013537 ,pharmaceutical preparation of nitroglycerin 
307,C0032533 ,"Etanercept, methotrexate, prednisolone, prednisone, tocilizumab "
308,C0272375 # C0598608 # C0398625 ,- # - # - 
309,,
310,,
311,,
312,,
313,C0028242 # C0004030 ,"Sulfamethoxazole / Trimethoprim, sulfadiazine, sulfamethoxazole, sulfisoxazole, trimethoprim # 5-fluorocytosine, amphotericin B, caspofungin, isavuconazole, itraconazole, micafungin, miconazole, natamycin, posaconazole, voriconazole "
314,,
315,C0027868 ,- 
316,,
317,C0006267 # C0034069 # C0018799 ,"acetylcysteine, tiotropium, tobramycin # - # (RS)-dobutamine, (RS)-metoprolol, (±)-carvedilol, Amlodipine / atorvastatin, Bisoprolol / Hydrochlorothiazide, Evolocumab, Hydrochlorothiazide / Lisinopril, LCZ696, Palivizumab, amiodarone, apixaban, aprindine, aspirin, atenolol/chlorthalidone, atorvastatin, clopidogrel, dabigatran etexilate, dofetilide, furosemide, pharmaceutical preparation of nitroglycerin, rivaroxaban, rosuvastatin, sildenafil, ticagrelor, valsartan, warfarin "
318,,
319,C0036202 # C0037116 # C0041296 ,"- # - # 4-aminosalicylic acid, Viomycin, capreomycin, cycloserine, ethambutol, ethionamide, isoniazid, pyrazinamide "
320,C0271623 ,testosterone 
321,C0085437 # C0338430 ,"ampicillin, cefotaxime, ceftazidime, ceftriaxone, nafcillin, oxacillin # - "
322,C0025289 # C0025289 # C0039082 # C0025297 # C0038525 ,"5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # 5-fluorocytosine, DL-ofloxacin, amikacin, ceftriaxone, flucloxacillin, minocycline # - # - # nimodipine, tranexamic acid "
323,,
324,C0030567 # C0393570 # C0002395 # C0020179 ,"(6S)-rotigotine, (S)-(−)-carbidopa monohydrate, (±)-deprenyl, Carbidopa/levodopa, amantadine, apomorphine, biperiden, bromocriptine, budipine, cabergoline, clozapine, droxidopa, entacapone, levodopa, pergolide, pimavanserin, piribedil, pramipexole, rasagiline, rivastigmine, ropinirol, safinamide, tolcapone, trihexyphenidyl, zonisamide # - # aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine # (RS)-baclofen, perphenazine, pimozide, tetrabenazine, ubidecarenone "
325,,
326,,
327,,
328,,
329,C0012634 ,- 
330,C0152096 # C0152095 # C0013080 ,- # - # - 
331,,
332,C0007570 # C0266815 ,- # - 
333,,
334,C0012546 # C0039614 ,"ampicillin, antitoxin, azithromycin, clarithromycin, penicillin, penicillin G, tylosin # cyclobenzaprine, gidazepam, methocarbamol, metocurine iodide, metronidazole, orphenadrine, phenazepam "
335,,
336,,
337,,
338,C0012634 ,- 
339,,
340,C0036310 ,- 
341,C0406636 ,- 
342,,
343,,
344,,
345,,
346,C0018802 ,"(RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Hydrochlorothiazide / Lisinopril, LCZ696, amiloride, atenolol, benazepril, bendroflumethiazide, benzthiazide, bisoprolol, bumetanide, candesartan, captopril, chlorothiazide, chlorthalidone, cilazapril, cyclothiazide, dabigatran etexilate, deslanoside, digitoxin, digoxin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, fenoldopam, fosinopril, furosemide, hydralazine, hydrochlorothiazide, hydrochlorothiazide / spironolactone, hydroflumethiazide, inamrinone, indapamide, isosorbide, ivabradine, labetalol, lisinopril, losartan, methyclothiazide, metolazone, milrinone, moexipril, nadolol, nesiritide, nitroglycerin, olmesartan, perindopril, polythiazide, propranolol, quinapril, quinethazone, ramipril, rivaroxaban, somatrem, spironolactone, telmisartan, tolvaptan, torasemide, trandolapril, trichlormethiazide, ubidecarenone, valsartan "
347,,
348,C0007193 # C0007177 # C0031039 # C0031048 # C0151744 ,"inamrinone # - # - # - # Colesevelam, Colestipol, Colestyramine, Evolocumab, atorvastatin, cerivastatin, chromonar, clofibrate, dextrothyroxine, eptifibatide, fenofibrate, fluvastatin, gemfibrozil, isosorbide, lovastatin, perindopril, pravastatin, probucol, simvastatin, sulfinpyrazone, tirofiban "
349,C0013295 ,"(RS)-rabeprazole, aluminium carbonate, amoxicillin, calcium carbonate, calcium gluceptate, carbonate ion, cimetidine, clarithromycin, dihydroxyaluminum sodium carbonate, esomeprazole, famotidine, lansoprazole, magaldrate, magnesium hydroxide, maprotiline, nizatidine, omeprazole, pantoprazole, prazepam, sucralfate "
350,,
351,C0002871 ,"(RS)-lenalidomide, Ferumoxides, deferasirox, eltrombopag, epoetin alfa, ferric carboxymaltose, iron sucrose, methoxy polyethylene glycol-epoetin beta, nandrolone, oxymetholone, sodium ascorbate, sodium ferric gluconate complex "
352,,
353,,
354,,
355,C0011175 ,saline solution 
356,,
357,,
358,C1318973 ,- 
359,C0018081 ,"DL-ofloxacin, Trovafloxacin, amoxicillin, ampicillin, bacampicillin, cefixime, cefotaxime, cefpodoxime, cefpodoxime proxetil, ceftizoxime, ceftriaxone, cefuroxime, ciprofloxacin, demeclocycline, enoxacin, erythromycin, gatifloxacin, moxifloxacin, norfloxacin, penicillin G, penicillin g potassium, penicillin g sodium, probenecid, spectinomycin, tetracycline, troleandomycin "
360,,
361,,
362,,
363,C0034494 ,- 
364,C0012634 ,- 
365,,
366,C0041234 # C0017925 # C0041234 # C0041234 ,"benznidazole, nifurtimox # - # benznidazole, nifurtimox # benznidazole, nifurtimox "
367,,
368,C0000833 ,"cefotetan, cefoxitin, metronidazole "
369,C0025322 # C0012634 ,"17β-estradiol, chlorotrianisene, estropipate, ethinylestradiol, quinestrol # - "
370,,
371,,
372,,
373,,
374,C0004659 ,methenamine 
375,C0017665 # C1704320 # C0017661 # C0017662 ,"cyclosporine, mycophenolate mofetil, prednisolone, rituximab # mycophenolate mofetil # mycophenolate mofetil # eculizumab "
376,C0085636 ,"diclofenac, ketorolac tromethamine "
377,,
378,C0039082 # C0039144 # C0039082 ,- # - # - 
379,C0021818 # C0039082 ,- # - 
380,C0014553 # C0014547 ,"- # (S)-etiracetam, clorazepic acid, gabapentin, lamotrigine, lorazepam, oxazepam, oxcarbazepine, phenobarbital, prazepam, tiagabine, topiramate, zonisamide "
381,C0002395 ,"aripiprazole, donepezil, galantamine, memantine, pyritinol, quetiapine, risperidone, rivastigmine "
382,,
383,C0521542 ,- 
384,,
385,,
386,,
387,C1692886 # C0029408 ,"(2R)-daptomycin, vancomycin # (+-)-flurbiprofen, (RS)-etodolac, (RS)-fenoprofen, D-Glucosamine, aspirin, celecoxib, diclofenac, diflunisal, ibuprofen, indomethacin, ketoprofen, meloxicam, nabumetone, naproxen, oxaprozin, piroxicam, rofecoxib, sulindac, tepoxalin, tolmetin, valdecoxib "
388,,
389,,
390,C0442874 # C0442874 # C0149940 # C0442874 ,"(S)-duloxetine, buprenorphine, capsaicin, diclofenac, fentanyl, gabapentin, pregabalin # (S)-duloxetine, buprenorphine, capsaicin, diclofenac, fentanyl, gabapentin, pregabalin # - # (S)-duloxetine, buprenorphine, capsaicin, diclofenac, fentanyl, gabapentin, pregabalin "
391,C0020498 # C0012624 ,- # - 
392,,
393,C0039503 ,- 
394,C0014571 ,- 
395,,
396,,
397,,
398,,
399,C0003507 ,- 
400,C0035243 ,- 
401,C0007177 # C0264558 ,- # - 
402,,
403,,
404,,
405,,
406,,
407,C0038325 ,- 
408,,
409,C0012634 # C0012634 ,- # - 
410,,
411,C0012739 ,- 
412,C0034155 # C0012739 # C0040034 ,"rituximab # - # (21R)-argatroban, Lepirudin, Romiplostim, anagrelide, desmopressin, eltrombopag, rituximab, ruxolitinib "
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,C0233763 ,- 
424,,
425,C0267917 # C0017551 ,- # - 
426,C0400821 # C0021831 # C0021831 # C0022104 ,"budesonide, budesonide/formoterol, mesalazine # Hyoscyamine, propantheline # Hyoscyamine, propantheline # Hyoscyamine, adalimumab, alosetron, dicyclomine, infliximab, linaclotide, loperamide, lubiprostone, mebeverine, mesalazine, polycarbophil calcium, propantheline, rifaximin, tegaserod, trimebutine "
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,C0008049 # C0035920 # C0012634 # C0085273 # C0012634 # C0015230 ,"aciclovir, ganciclovir, zinc oxide # - # - # - # - # - "
436,,
437,C0041316 # C0041296 ,"antituberculous drug, rifampicin # 4-aminosalicylic acid, Viomycin, capreomycin, cycloserine, ethambutol, ethionamide, isoniazid, pyrazinamide "
438,,
439,,
440,C0001127 # C0001127 ,- # - 
441,C0155616 # C0020538 # C0020538 ,"- # (RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Amlodipine / atorvastatin, Amlodipine/benazepril, Bisoprolol / Hydrochlorothiazide, Enalapril / Hydrochlorothiazide, Eplerenone, Hydrochlorothiazide / Lisinopril, Hydrochlorothiazide / Losartan, Hydrochlorothiazide / Spironolactone, Hydrochlorothiazide / Triamterene, Hydrochlorothiazide / valsartan, LCZ696, Telmisartan/hydrochlorothiazide, acebutolol, aliskiren, amiloride, amlodipine, amlodipine/valsartan, atenolol, atenolol/chlorthalidone, benazepril, bendroflumethiazide, benzthiazide, bepridil, betaxolol, bisoprolol, bumetanide, candesartan, candesartan / Hydrochlorothiazide, captopril, carteolol, carteolol hydrochloride, chlorothiazide, chlorthalidone, clonidine, clonidine hydrochloride, cyclothiazide, dabigatran etexilate, deserpidine, diltiazem, doxazosin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, ezetimibe / Simvastatin, felodipine, fosinopril, furosemide, guanabenz, guanadrel, guanethidine, guanfacine, hydralazine, hydrochlorothiazide, hydroflumethiazide, indapamide, irbesartan, irbesartan / hydrochlorothiazide, isradipine, labetalol, lisinopril, lisinopril dihydrate, losartan, mecamylamine, methyclothiazide, methyldopa, metolazone, mibefradil, minoxidil, moexipril, nadolol, nebivolol, nicardipine, nifedipine, nisoldipine, olmesartan, penbutolol, perindopril, phenoxybenzamine, phentolamine, pindolol, polythiazide, prazosin, propranolol, quinapril, quinethazone, ramipril, reserpine, rivaroxaban, spironolactone, telmisartan, terazosin, torasemide, trandolapril, triamterene, trichlormethiazide, ubidecarenone, valsartan, verapamil # (RS)-metoprolol, (S)-(−)-timolol, (±)-carvedilol, Amlodipine / atorvastatin, Amlodipine/benazepril, Bisoprolol / Hydrochlorothiazide, Enalapril / Hydrochlorothiazide, Eplerenone, Hydrochlorothiazide / Lisinopril, Hydrochlorothiazide / Losartan, Hydrochlorothiazide / Spironolactone, Hydrochlorothiazide / Triamterene, Hydrochlorothiazide / valsartan, LCZ696, Telmisartan/hydrochlorothiazide, acebutolol, aliskiren, amiloride, amlodipine, amlodipine/valsartan, atenolol, atenolol/chlorthalidone, benazepril, bendroflumethiazide, benzthiazide, bepridil, betaxolol, bisoprolol, bumetanide, candesartan, candesartan / Hydrochlorothiazide, captopril, carteolol, carteolol hydrochloride, chlorothiazide, chlorthalidone, clonidine, clonidine hydrochloride, cyclothiazide, dabigatran etexilate, deserpidine, diltiazem, doxazosin, enalapril, eprosartan, esmolol, ethacrynate sodium, ethacrynic acid, ezetimibe / Simvastatin, felodipine, fosinopril, furosemide, guanabenz, guanadrel, guanethidine, guanfacine, hydralazine, hydrochlorothiazide, hydroflumethiazide, indapamide, irbesartan, irbesartan / hydrochlorothiazide, isradipine, labetalol, lisinopril, lisinopril dihydrate, losartan, mecamylamine, methyclothiazide, methyldopa, metolazone, mibefradil, minoxidil, moexipril, nadolol, nebivolol, nicardipine, nifedipine, nisoldipine, olmesartan, penbutolol, perindopril, phenoxybenzamine, phentolamine, pindolol, polythiazide, prazosin, propranolol, quinapril, quinethazone, ramipril, reserpine, rivaroxaban, spironolactone, telmisartan, terazosin, torasemide, trandolapril, triamterene, trichlormethiazide, ubidecarenone, valsartan, verapamil "
442,C0002726 # C0017661 # C0027721 ,"(RS)-lenalidomide, acetylcysteine, bortezomib, dexamethasone, ixazomib, melphalan, pomalidomide, thalidomide # mycophenolate mofetil # mycophenolate mofetil "
443,,
444,C0270932 # C0015469 # C0036202 ,- # L-scopolamine # - 
445,,
446,,
447,,
448,C0027697 ,magnesium sulfate 
449,,
450,,
451,,
452,,
453,C0003507 # C0003504 ,- # - 
454,,
455,,
456,,
457,,
458,,
459,,
460,C0026691 # C0025007 # C0035920 # C0036285 ,"aspirin, infliximab # - # - # cephalosporin antibiotic, clindamycin, histamine antagonist, macrolides, penicillin, vancomycin "
461,,
462,,
463,,
464,,
465,C0011849 ,"Insulin Lispro, chromium picolinate, voglibose "
466,C0002880 # C0034155 # C0002878 # C0242584 # C0272126 # C0272286 # C0920163 ,"(RS)-cyclophosphamide, prednisolone, rituximab # rituximab # alpha-tocopherol # (RS)-cyclophosphamide, Vinblastine, azathioprine # - # - # (RS)-cyclophosphamide, Vinblastine, azathioprine "
467,,
468,C0085278 # C0684275 # C0155679 ,- # - # - 
469,,
470,C0022658 ,"dopamine, paricalcitol "
471,C0035078 ,"alpha-Ketoglutaric acid, paricalcitol "
472,C0520575 ,- 
473,C0027721 # C0017661 ,mycophenolate mofetil # mycophenolate mofetil 
474,C0017661 # C0002986 ,"mycophenolate mofetil # Agalsidase beta, migalastat hydrochloride "
475,C0034155 # C0012739 ,rituximab # - 
476,C0001403 # C0011848 ,"dexamethasone, fludrocortisone # arginine vasopressin, desmopressin "
477,,
478,,
479,,
480,C0016399 # C0234974 ,"- # (S)-etiracetam, clorazepic acid, gabapentin, lamotrigine, lorazepam, oxazepam, oxcarbazepine, phenobarbital, prazepam, tiagabine, topiramate, zonisamide "
481,,
482,C0002726 ,"(RS)-lenalidomide, acetylcysteine, bortezomib, dexamethasone, ixazomib, melphalan, pomalidomide, thalidomide "
483,C0020255 ,- 
484,,
485,,
486,C0007282 ,clopidogrel 
487,,
488,,
489,,
490,,
491,,
492,,
493,C0009766 # C0009770 ,"azelastine / fluticasone, cyproheptadine hydrochloride, olopatadine, prednisolone acetate # - "
494,C0017606 # C0149931 # C0022568 # C0013238 ,"- # (S)-duloxetine, almotriptan, amitriptyline, botulinum toxin type A, buprenorphine, butorphanol, clonixin, diclofenac, dihydroergotamine, eletriptan, ergotamine, fentanyl, gabapentin, ibuprofen, ketorolac, lamotrigine, naproxen, naratriptan, paracetamol, pregabalin, propranolol, rizatriptan, sumatriptan, topiramate, triptan, venlafaxine, zolmitriptan, zonisamide # lodoxamide, loteprednol etabonate, natamycin, tropicamide, valinegramicidin a # sodium chloride "
495,,
496,,
497,,
498,,
499,C0008728 # C2347126 # C3495801 # C0031036 ,mepolizumab # rituximab # (RS)-cyclophosphamide # - 
500,C0003873 # C0016053 # C0032533 # C0038013 ,"(+-)-flurbiprofen, (RS)-etodolac, (RS)-fenoprofen, D-penicillamine, Etanercept, adalimumab, anakinra, aspirin, auranofin, aurothioglucose, azathioprine, captopril, celecoxib, chloroquine, cyclosporine, diclofenac, diflunisal, enalapril, frentizole, gold, hydroxychloroquine, ibuprofen, indomethacin, ketoprofen, leflunomide, methotrexate, methylprednisolone, nabumetone, naproxen, oxaprozin, piroxicam, sulfasalazine, sulindac, thalidomide, tolmetin, valdecoxib # alternative medicine, amitriptyline, anticonvulsant agent, etanercept, guaifenesin, medical cannabis, non-steroidal anti-inflammatory drug, opioid, serotonin–norepinephrine reuptake inhibitor, sodium oxybate # Etanercept, methotrexate, prednisolone, prednisone, tocilizumab # adalimumab, apremilast, celecoxib, certolizumab pegol, diclofenac, etanercept, golimumab, ibuprofen, infliximab, methotrexate, naproxen, piroxicam, secukinumab, sulindac, ustekinumab "
501,C0018099 # C0024031 # C0021775 ,"(S)-(−)-colchicine, Pegloticase, allopurinol, aspirin, diclofenac, febuxostat, ibuprofen, indomethacin, naproxen, probenecid, sulfinpyrazone, sulindac # tizanidine # cilostazol, pentoxifylline "
502,,
503,,
504,,
505,C0029408 ,"(+-)-flurbiprofen, (RS)-etodolac, (RS)-fenoprofen, D-Glucosamine, aspirin, celecoxib, diclofenac, diflunisal, ibuprofen, indomethacin, ketoprofen, meloxicam, nabumetone, naproxen, oxaprozin, piroxicam, rofecoxib, sulindac, tepoxalin, tolmetin, valdecoxib "
506,,
507,C0014306 ,- 
